epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8118749856948853,0.5033249258995056,0.8508023023605347,0.7787500023841858,0.9175000190734863,0.22363552451133728,0.9397905468940735,0.8974999785423279
1,0.8912500143051147,0.30750423669815063,0.9089431166648865,0.8734375238418579,0.9524999856948853,0.14140266180038452,0.9616368412971497,0.9399999976158142
2,0.8965625166893005,0.28052982687950134,0.909149706363678,0.8787500262260437,0.9449999928474426,0.14225976169109344,0.9516539573669434,0.9350000023841858
3,0.90625,0.2554985582828522,0.9173076748847961,0.8943750262260437,0.9524999856948853,0.1349583864212036,0.9619289636611938,0.9474999904632568
4,0.921875,0.2264290750026703,0.9316075444221497,0.910937488079071,0.9574999809265137,0.12154126167297363,0.9622166156768799,0.9549999833106995
5,0.9196875095367432,0.23153753578662872,0.931353747844696,0.9115625023841858,0.9399999976158142,0.1502501517534256,0.9422110319137573,0.9375
6,0.9221875071525574,0.21083912253379822,0.931506872177124,0.9137499928474426,0.9399999976158142,0.13143140077590942,0.9445843696594238,0.9375
7,0.9221875071525574,0.22670389711856842,0.9362587928771973,0.9134374856948853,0.9449999928474426,0.1356058567762375,0.9517766237258911,0.9375
8,0.9246875047683716,0.20695030689239502,0.9329520463943481,0.9175000190734863,0.9750000238418579,0.10533533990383148,0.9797468185424805,0.9674999713897705
9,0.9246875047683716,0.21996451914310455,0.9345465898513794,0.9146875143051147,0.9599999785423279,0.1051759347319603,0.9647355079650879,0.9574999809265137
10,0.9262499809265137,0.20547853410243988,0.9374401569366455,0.9178125262260437,0.9599999785423279,0.12028861045837402,0.9693877696990967,0.949999988079071
11,0.9284374713897705,0.1963944435119629,0.9357914924621582,0.9200000166893005,0.9725000262260437,0.10632132738828659,0.974554717540741,0.9574999809265137
12,0.926562488079071,0.21571603417396545,0.9357622265815735,0.9150000214576721,0.9549999833106995,0.12083030492067337,0.9620253443717957,0.949999988079071
13,0.9243749976158142,0.20393836498260498,0.9359056353569031,0.917187511920929,0.9574999809265137,0.10974515974521637,0.9669210910797119,0.949999988079071
14,0.9231250286102295,0.20456840097904205,0.9340554475784302,0.9162499904632568,0.9674999713897705,0.09483890235424042,0.9747474789619446,0.9649999737739563
15,0.9362499713897705,0.19104911386966705,0.9430199265480042,0.9309375286102295,0.9674999713897705,0.10359004884958267,0.9744245409965515,0.9524999856948853
16,0.9337499737739563,0.18159380555152893,0.9412698149681091,0.926562488079071,0.9700000286102295,0.08236175775527954,0.9773299694061279,0.9700000286102295
17,0.9334375262260437,0.18283815681934357,0.9411764740943909,0.925000011920929,0.9624999761581421,0.0988290086388588,0.9722222089767456,0.9624999761581421
18,0.9321874976158142,0.18565645813941956,0.9426568746566772,0.9246875047683716,0.9775000214576721,0.09317776560783386,0.9846938848495483,0.9649999737739563
19,0.9318749904632568,0.1773027628660202,0.9417011737823486,0.9237499833106995,0.9649999737739563,0.09103332459926605,0.9673366546630859,0.9624999761581421
20,0.9396874904632568,0.1703149378299713,0.9457659125328064,0.9318749904632568,0.9574999809265137,0.1020997166633606,0.9623115658760071,0.9574999809265137
21,0.940625011920929,0.17166252434253693,0.9476356506347656,0.9331250190734863,0.9649999737739563,0.10931671410799026,0.9721518754959106,0.9599999785423279
22,0.9415624737739563,0.1628814935684204,0.9504289627075195,0.9346874952316284,0.9750000238418579,0.0970258042216301,0.9797468185424805,0.9674999713897705
23,0.9478124976158142,0.14980937540531158,0.9531200528144836,0.9403125047683716,0.9674999713897705,0.08983674645423889,0.9722222089767456,0.9624999761581421
24,0.9412500262260437,0.15508994460105896,0.9498253464698792,0.9346874952316284,0.9750000238418579,0.08444308489561081,0.9773299694061279,0.9700000286102295
25,0.9528124928474426,0.14076223969459534,0.9579778909683228,0.9474999904632568,0.9649999737739563,0.08484666794538498,0.9722222089767456,0.9624999761581421
26,0.9456250071525574,0.15784679353237152,0.9545165300369263,0.9378125071525574,0.9700000286102295,0.08985424041748047,0.9773299694061279,0.9700000286102295
