epoch,accuracy,loss,val_accuracy,val_loss
0,0.31062498688697815,18.527244567871094,0.2239583283662796,30.29663848876953
1,0.0,0.0,0.125,31.672733306884766
2,0.35374999046325684,13.646705627441406,0.2083333283662796,23.111825942993164
3,0.0,0.0,0.5,18.812576293945312
4,0.37312498688697815,9.711370468139648,0.2239583283662796,18.028047561645508
5,0.0,0.0,0.125,20.36930274963379
6,0.40687501430511475,6.850339412689209,0.21875,11.187056541442871
7,0.0,0.0,0.25,10.660188674926758
8,0.44312500953674316,4.791223526000977,0.2239583283662796,6.640830993652344
9,0.0,0.0,0.125,7.379082679748535
10,0.43187499046325684,3.511990547180176,0.2291666716337204,3.298600435256958
11,0.0,0.0,0.0,3.3944742679595947
12,0.4143750071525574,2.735208511352539,0.2708333432674408,2.667459726333618
13,0.0,0.0,0.25,2.5497026443481445
14,0.4337500035762787,2.349717617034912,0.2291666716337204,2.7428500652313232
15,0.0,0.0,0.0,2.9010682106018066
16,0.42500001192092896,2.2068068981170654,0.2239583283662796,3.175662040710449
17,0.0,0.0,0.125,3.1105103492736816
18,0.4256249964237213,2.1206552982330322,0.21875,3.5380401611328125
19,0.0,0.0,0.25,3.4327259063720703
20,0.46562498807907104,2.026503801345825,0.2552083432674408,3.619661331176758
21,0.0,0.0,0.25,3.4505693912506104
22,0.4437499940395355,1.7500429153442383,0.265625,4.053043365478516
23,0.0,0.0,0.0,5.353240013122559
24,0.43687498569488525,1.754623532295227,0.2760416567325592,3.2777249813079834
25,0.0,0.0,0.125,2.6479592323303223
26,0.4543749988079071,1.9278498888015747,0.2239583283662796,2.8196640014648438
27,0.0,0.0,0.375,2.626723527908325
28,0.4493750035762787,1.7767517566680908,0.2291666716337204,4.983096599578857
29,0.0,0.0,0.125,4.809117317199707
30,0.4556249976158142,1.7305264472961426,0.1927083283662796,3.547633409500122
31,0.0,0.0,0.25,4.208662986755371
32,0.46187499165534973,1.8726098537445068,0.2604166567325592,4.6893463134765625
33,0.0,0.0,0.25,1.984018325805664
34,0.4606249928474426,1.8299564123153687,0.5208333134651184,1.7124513387680054
35,0.0,0.0,0.5,1.7714564800262451
36,0.47062501311302185,1.8474719524383545,0.328125,2.1731297969818115
37,0.0,0.0,0.625,1.8506430387496948
38,0.4762499928474426,1.6432162523269653,0.2760416567325592,5.030999660491943
39,0.0,0.0,0.25,7.155997276306152
40,0.46562498807907104,1.6622003316879272,0.4010416567325592,1.86699640750885
41,0.0,0.0,0.5,1.748150110244751
42,0.48124998807907104,1.8314599990844727,0.2447916716337204,3.007889747619629
43,0.0,0.0,0.125,2.7841217517852783
44,0.49312499165534973,1.7676022052764893,0.2135416716337204,7.5851006507873535
45,0.0,0.0,0.375,10.14035701751709
46,0.4806250035762787,1.861110806465149,0.2552083432674408,4.2955851554870605
47,0.0,0.0,0.25,4.365222930908203
48,0.49000000953674316,1.7513638734817505,0.2552083432674408,18.871826171875
49,0.0,0.0,0.25,17.087411880493164
