epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2931250035762787,0.0010000000474974513,32.96311569213867,0.2849999964237213,5.497100353240967
0,0.33250001072883606,0.0010000000474974513,35.82044982910156,0.3400000035762787,2.674941062927246
1,0.31562501192092896,0.0010000000474974513,2.5110273361206055,0.3400000035762787,2.593155860900879
2,0.31312501430511475,0.0010000000474974513,2.3967065811157227,0.32499998807907104,2.8826189041137695
3,0.39125001430511475,0.0010000000474974513,2.2941057682037354,0.32499998807907104,2.495166301727295
4,0.40312498807907104,0.0010000000474974513,2.171452522277832,0.3199999928474426,2.693794012069702
5,0.40437498688697815,0.0010000000474974513,2.118640184402466,0.32499998807907104,2.852276086807251
6,0.40312498807907104,0.0010000000474974513,2.082129716873169,0.3149999976158142,2.2995638847351074
7,0.3675000071525574,0.0010000000474974513,2.0357635021209717,0.32499998807907104,2.5372955799102783
8,0.37437498569488525,0.0010000000474974513,1.9929691553115845,0.23499999940395355,2.281888484954834
9,0.38624998927116394,0.0010000000474974513,1.9456243515014648,0.3100000023841858,2.0702664852142334
10,0.39375001192092896,0.0010000000474974513,1.872879981994629,0.36000001430511475,1.9094302654266357
11,0.40062499046325684,0.0010000000474974513,1.8172940015792847,0.4399999976158142,1.755570411682129
12,0.3762499988079071,0.0010000000474974513,1.8028388023376465,0.4650000035762787,1.7268255949020386
13,0.40062499046325684,0.0010000000474974513,1.7616924047470093,0.45500001311302185,1.6962177753448486
14,0.41749998927116394,0.0010000000474974513,1.701478123664856,0.4099999964237213,1.6888774633407593
15,0.40062499046325684,0.0010000000474974513,1.6856127977371216,0.36000001430511475,1.6794410943984985
16,0.4050000011920929,0.0010000000474974513,1.6691155433654785,0.2849999964237213,1.7093347311019897
17,0.3725000023841858,0.0010000000474974513,1.6744157075881958,0.4650000035762787,1.618230938911438
18,0.3918749988079071,0.0010000000474974513,1.6335995197296143,0.46000000834465027,1.5681735277175903
19,0.4037500023841858,0.0010000000474974513,1.6005102396011353,0.25999999046325684,1.6897958517074585
20,0.3956249952316284,0.0010000000474974513,1.5840857028961182,0.32499998807907104,1.5767940282821655
21,0.40062499046325684,0.0010000000474974513,1.5696505308151245,0.41499999165534973,1.4905608892440796
22,0.40312498807907104,0.0010000000474974513,1.5313093662261963,0.45500001311302185,1.4592792987823486
23,0.38999998569488525,0.0010000000474974513,1.5340549945831299,0.46000000834465027,1.4545080661773682
24,0.41624999046325684,0.0010000000474974513,1.5151094198226929,0.4449999928474426,1.4842817783355713
25,0.41749998927116394,0.0010000000474974513,1.479444980621338,0.4749999940395355,1.4182177782058716
26,0.41999998688697815,0.0010000000474974513,1.4641830921173096,0.44999998807907104,1.4323617219924927
27,0.4124999940395355,0.0010000000474974513,1.4561041593551636,0.375,1.441412329673767
28,0.4143750071525574,0.0010000000474974513,1.452966332435608,0.41999998688697815,1.4493488073349
29,0.42375001311302185,0.0010000000474974513,1.4131442308425903,0.23999999463558197,1.611674189567566
30,0.41499999165534973,0.0010000000474974513,1.4125263690948486,0.33500000834465027,1.5267220735549927
31,0.40687501430511475,0.000800000037997961,1.396845817565918,0.3100000023841858,1.4574931859970093
32,0.4000000059604645,0.000800000037997961,1.4283143281936646,0.4749999940395355,1.3303881883621216
33,0.3987500071525574,0.000800000037997961,1.4177157878875732,0.47999998927116394,1.3249891996383667
34,0.4168750047683716,0.000800000037997961,1.38602614402771,0.44999998807907104,1.3543450832366943
35,0.4193750023841858,0.000800000037997961,1.365850806236267,0.25,1.513068437576294
36,0.4337500035762787,0.000800000037997961,1.359635353088379,0.35499998927116394,1.3611116409301758
37,0.39250001311302185,0.000800000037997961,1.4005064964294434,0.42500001192092896,1.3952364921569824
38,0.4325000047683716,0.000800000037997961,1.345880389213562,0.22499999403953552,1.6379029750823975
39,0.4281249940395355,0.000640000042039901,1.3309603929519653,0.23000000417232513,1.544689655303955
40,0.40187498927116394,0.000640000042039901,1.3651896715164185,0.26499998569488525,1.5366748571395874
41,0.42875000834465027,0.000640000042039901,1.3402682542800903,0.36000001430511475,1.3595712184906006
42,0.4300000071525574,0.000640000042039901,1.3423981666564941,0.32499998807907104,1.3929147720336914
43,0.4143750071525574,0.000640000042039901,1.355750560760498,0.23000000417232513,1.5492048263549805
44,0.4312500059604645,0.0005120000569149852,1.3197423219680786,0.4300000071525574,1.339514136314392
45,0.42500001192092896,0.0005120000569149852,1.3172045946121216,0.36500000953674316,1.3909648656845093
46,0.43562498688697815,0.0005120000569149852,1.316459059715271,0.23499999940395355,1.5060608386993408
47,0.4412499964237213,0.0005120000569149852,1.3147732019424438,0.27000001072883606,1.438405156135559
48,0.4256249964237213,0.0005120000569149852,1.3163622617721558,0.4650000035762787,1.2631796598434448
49,0.4350000023841858,0.0005120000569149852,1.283341407775879,0.23499999940395355,1.5451719760894775
50,0.4281249940395355,0.0005120000569149852,1.3118209838867188,0.5249999761581421,1.2399682998657227
51,0.4193750023841858,0.0005120000569149852,1.3107795715332031,0.45500001311302185,1.2370517253875732
52,0.4143750071525574,0.0005120000569149852,1.2942935228347778,0.2800000011920929,1.4120887517929077
53,0.4206250011920929,0.0005120000569149852,1.29018235206604,0.36500000953674316,1.310818076133728
54,0.43062499165534973,0.0005120000569149852,1.275931477546692,0.375,1.2935806512832642
55,0.4293749928474426,0.0005120000569149852,1.2774980068206787,0.36000001430511475,1.287519097328186
